BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Age,Period,ComplaintType
76036.25,183.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,31531.0,4.0,2320.0,-18.0,14.0,0
76036.25,100.0,8.01,6.0,6.5,16942.0,124.83,1.0,12.0,6072.0,31531.0,4.0,2320.0,22.0,35.0,3
76036.25,77.0,10.37,6.0,6.5,16942.0,101.0,1.0,12.0,6072.0,31531.0,4.0,2320.0,-20.0,12.0,0
76036.25,77.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,31531.0,4.0,2320.0,-20.0,12.0,3
76036.25,71.0,10.37,6.0,6.5,14500.0,71.5,1.0,12.0,6072.0,31531.0,4.0,2320.0,-12.0,20.0,0
9401.0,77.0,3.6,6.0,6.5,2523.0,100.0,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,1
76036.25,130.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,31531.0,10.0,1000.0,34.0,51.0,1
76036.25,165.0,1.66,6.0,14.0,16942.0,126.93,1.0,8.0,6072.0,7650.0,10.0,2320.0,21.0,53.0,0
76036.25,77.0,3.6,6.0,14.0,2523.0,100.0,1.0,12.0,6072.0,31531.0,10.0,2320.0,78.0,110.0,0
33185.0,77.0,10.37,6.0,14.0,2967.0,89.0,1.0,12.0,1988.0,27750.0,10.0,2320.0,68.0,100.0,0
76036.25,176.0,1.05,6.0,14.0,16942.0,126.93,1.0,7.0,6072.0,7650.0,10.0,2320.0,39.0,71.0,1
76036.25,146.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,46.0,64.0,3
566.0,70.75,7.97,6.0,14.0,71.0,70.75,1.0,1.0,6072.0,7650.0,10.0,2320.0,78.0,110.0,4
9693.0,75.0,3.33,6.0,14.0,2913.0,74.54,1.0,4.0,6072.0,6780.0,10.0,2320.0,162.0,187.0,0
9401.0,77.0,3.6,6.0,14.0,11469.0,97.12,1.0,5.0,6072.0,7650.0,10.0,2320.0,78.0,110.0,0
14250.0,99.0,7.24,6.0,14.0,1968.0,97.08,1.0,7.0,6072.0,10200.0,10.0,2320.0,88.0,120.0,0
20500.0,108.0,5.0,6.0,14.0,4100.0,107.91,1.0,5.0,6072.0,7650.0,10.0,2320.0,88.0,120.0,2
3999.0,44.0,3.01,6.0,14.0,1329.0,45.58,1.0,3.0,6072.0,7650.0,10.0,2320.0,7.0,16.0,0
9401.0,77.0,3.6,6.0,14.0,3758.0,46.29,1.0,5.0,6072.0,7650.0,10.0,2320.0,78.0,110.0,0
76036.25,182.0,10.37,6.0,14.0,14490.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,63.0,95.0,1
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,60.0,92.0,3
76036.25,183.0,10.37,6.0,14.0,15529.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,5.0,37.0,0
24170.0,183.0,4.72,6.0,14.0,5122.0,126.93,1.0,5.0,6072.0,7650.0,10.0,2320.0,88.0,120.0,1
17250.0,183.0,3.37,6.0,14.0,5122.0,126.93,1.0,5.0,6072.0,7650.0,10.0,2320.0,104.0,120.0,1
76036.25,183.0,10.37,6.0,14.0,15722.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,5.0,37.0,2
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,73.0,107.0,1
76036.25,183.0,10.37,6.0,14.0,16716.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,90.0,103.0,1
76036.25,183.0,10.37,6.0,14.0,13967.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,55.0,120.0,2
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,2.0,97.0,0
76036.25,183.0,10.37,6.0,14.0,9372.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,68.0,122.0,0
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,66.0,116.0,1
76036.25,175.0,10.37,6.0,14.0,13323.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,76.0,93.0,1
76036.25,159.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,106.0,123.0,2
76036.25,133.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,86.0,90.0,0
76036.25,156.0,7.66,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,105.0,119.0,0
76036.25,151.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,32.0,64.0,0
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,27.0,59.0,1
15995.0,49.0,7.05,6.0,14.0,2268.0,49.85,1.0,7.0,6072.0,7650.0,10.0,1400.0,5.0,37.0,0
76036.25,150.0,10.37,6.0,14.0,13220.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,56.0,88.0,0
76036.25,183.0,10.37,6.0,14.0,13971.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,75.0,107.0,0
76036.25,150.75,10.37,6.0,14.0,16100.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,6.0,38.0,0
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,20.0,52.0,3
9401.0,77.0,3.6,6.0,14.0,13202.0,126.93,1.0,5.0,6072.0,7650.0,10.0,2320.0,78.0,110.0,0
76036.25,128.08,8.24,6.0,14.0,11110.0,126.93,1.0,9.0,6072.0,7650.0,10.0,2320.0,75.0,91.0,0
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,96.0,120.0,1
76036.25,70.5,10.37,6.0,14.0,14970.0,70.5,1.0,12.0,6072.0,7650.0,10.0,2320.0,83.0,118.0,3
76036.25,115.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,-17.0,15.0,1
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,70.0,116.0,0
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,38.0,62.0,0
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,91.0,106.0,1
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,75.0,91.0,1
76036.25,140.0,10.37,6.0,14.0,12127.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,85.0,99.0,4
76036.25,171.0,5.98,6.0,14.0,16942.0,126.93,1.0,9.0,6072.0,31531.0,10.0,2320.0,152.0,184.0,1
76036.25,53.33,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,80.0,91.0,3
76036.25,89.25,10.37,6.0,14.0,11934.0,89.25,1.0,12.0,6072.0,31531.0,10.0,2320.0,52.0,94.0,3
